iter	Passed	Remaining
793	77928	118364
794	78021	118258
795	78121	118163
796	78230	118081
797	78329	117984
798	78426	117885
799	78516	117775
800	78650	117730
801	78760	117649
802	78863	117558
803	78956	117452
804	79060	117363
805	79139	117235
806	79226	117122
807	79329	117030
808	79430	116937
809	79540	116856
810	79657	116785
811	79770	116708
812	79866	116606
813	79966	116510
814	80090	116450
815	80174	116331
816	80269	116229
817	80376	116143
818	80483	116057
819	80592	115974
820	80701	115892
821	80801	115796
822	80888	115681
823	80970	115560
824	81063	115453
825	81151	115341
826	81240	115230
827	81321	115106
828	81401	114983
829	81491	114873
830	81568	114745
831	81655	114631
832	81742	114517
833	81877	114470
834	81988	114391
835	82089	114296
836	82208	114227
837	82276	114087
838	82336	113936
839	82395	113784
840	82454	113632
841	82519	113488
842	82582	113342
843	82645	113196
844	82723	113071
845	82863	113031
846	83004	112992
847	83156	112967
848	83279	112902
849	83411	112850
850	83532	112783
851	83650	112712
852	83780	112656
853	83916	112608
854	84034	112537
855	84162	112479
856	84302	112435
857	84428	112374
858	84554	112312
859	84701	112278
860	84786	112161
861	84878	112055
862	84977	111958
863	85079	111863
864	85169	111754
865	85300	111698
866	85432	111643
867	85560	111583
868	85692	111528
869	85825	111474
870	85952	111412
871	86095	111371
872	86232	111321
873	86368	111270
874	86510	111227
875	86629	111155
876	86762	111098
877	86888	111035
878	87018	110975
879	87156	110927
880	87288	110869
881	87443	110840
882	87592	110804
883	87681	110692
884	87781	110595
885	87886	110503
886	87971	110385
887	88066	110281
888	88182	110202
889	88339	110175
890	88473	110120
891	88588	110040
892	88709	109968
893	88829	109894
894	88978	109856
895	89143	109837
896	89300	109809
897	89418	109732
898	89555	109677
899	89657	109580
900	89758	109483
901	89839	109361
902	89912	109229
903	90012	109129
904	90130	109053
905	90268	108999
906	90395	108932
907	90576	108931
908	90721	108885
909	90835	108802
910	90976	108752
911	91100	108681
912	91236	108624
913	91370	108565
914	91499	108498
915	91638	108445
916	91782	108397
917	91924	108347
918	92067	108296
919	92204	108239
920	92344	108185
921	92479	108127
922	92614	108067
923	92754	108012
924	92893	107957
925	93013	107879
926	93102	107766
927	93190	107651
928	93284	107543
929	93386	107445
930	93471	107326
931	93575	107230
932	93668	107121
933	93772	107025
934	93873	106925
935	93963	106812
936	94075	106725
937	94188	106639
938	94292	106543
939	94376	106424
940	94480	106328
941	94598	106247
942	94698	106146
943	94808	106056
944	94917	105966
945	95022	105871
946	95126	105774
947	95213	105658
